iter	Passed	Remaining
0	169	169680
1	176	87988
2	182	60529
3	189	47199
4	191	38196
5	196	32633
6	201	28631
7	204	25355
8	209	23057
9	214	21216
10	219	19719
11	224	18476
12	229	17432
13	234	16518
14	239	15734
15	246	15133
16	248	14358
17	254	13868
18	260	13462
19	266	13063
20	270	12603
21	276	12273
22	280	11926
23	286	11645
24	291	11376
25	296	11103
26	301	10881
27	306	10656
28	311	10436
29	317	10269
30	322	10093
31	327	9899
32	334	9798
33	340	9669
34	346	9548
35	351	9422
36	357	9297
37	362	9176
38	367	9058
39	374	8980
40	379	8867
41	384	8777
42	387	8627
43	392	8527
44	396	8418
45	401	8326
46	406	8251
47	410	8150
48	413	8023
49	417	7937
50	422	7855
51	426	7778
52	430	7684
53	434	7613
54	438	7542
55	443	7480
56	446	7382
57	450	7322
58	455	7269
59	460	7208
60	464	7150
61	467	7076
62	472	7024
63	476	6969
64	480	6916
65	485	6865
66	490	6831
67	496	6801
68	502	6774
69	506	6732
70	510	6678
71	516	6652
72	521	6621
73	526	6589
74	531	6550
75	536	6521
76	540	6484
77	545	6446
78	549	6411
79	554	6372
80	558	6339
81	563	6306
82	567	6272
83	572	6242
84	577	6214
85	582	6186
86	585	6139
87	590	6116
88	595	6092
89	601	6079
90	605	6049
91	610	6025
92	613	5981
93	618	5958
94	623	5938
95	628	5915
96	633	5894
97	638	5873
98	640	5831
99	645	5805
100	650	5790
101	657	5784
102	662	5772
103	667	5752
104	672	5734
105	675	5697
106	677	5655
107	679	5612
108	681	5570
109	686	5556
110	692	5543
111	697	5534
112	703	5521
113	708	5503
114	712	5486
115	717	5468
116	723	5456
117	725	5425
118	730	5409
119	735	5391
120	740	5377
121	743	5354
122	748	5339
123	754	5328
124	759	5314
125	763	5297
126	765	5262
127	770	5245
128	774	5227
129	776	5198
130	781	5182
131	785	5164
132	789	5148
133	793	5131
134	798	5114
135	802	5097
136	806	5081
137	811	5066
138	815	5049
139	819	5034
140	823	5015
141	825	4990
142	831	4984
143	837	4977
144	842	4965
145	844	4942
146	849	4931
147	855	4922
148	860	4914
149	866	4912
150	872	4903
151	877	4894
152	882	4887
153	887	4878
154	893	4869
155	899	4865
156	905	4864
157	911	4859
158	914	4834
159	919	4829
160	925	4821
161	930	4814
162	936	4806
163	941	4800
164	946	4788
165	952	4783
166	956	4769
167	961	4761
168	964	4740
169	969	4734
170	975	4727
171	981	4723
172	988	4725
173	994	4720
174	999	4712
175	1005	4706
176	1011	4703
177	1014	4684
178	1020	4679
179	1025	4673
180	1031	4666
181	1036	4657
182	1038	4636
183	1042	4622
184	1047	4612
185	1051	4602
186	1056	4592
187	1061	4583
188	1065	4570
189	1068	4553
190	1069	4531
191	1074	4522
192	1079	4512
193	1084	4505
194	1087	4491
195	1091	4478
196	1096	4467
197	1100	4456
198	1102	4435
199	1106	4425
200	1111	4417
201	1115	4407
202	1120	4398
203	1122	4381
204	1127	4371
205	1132	4363
206	1137	4357
207	1142	4350
208	1144	4333
209	1149	4323
210	1154	4318
211	1160	4313
212	1163	4297
213	1168	4290
214	1173	4282
215	1177	4274
216	1182	4268
217	1187	4261
218	1190	4245
219	1195	4237
220	1200	4230
221	1205	4223
222	1207	4206
223	1211	4196
224	1216	4189
225	1219	4176
226	1224	4168
227	1228	4161
228	1232	4149
229	1237	4141
230	1241	4133
231	1246	4125
232	1250	4116
233	1254	4108
234	1259	4100
235	1264	4092
236	1266	4078
237	1272	4073
238	1277	4068
239	1282	4061
240	1287	4055
241	1290	4043
242	1295	4036
243	1298	4024
244	1303	4017
245	1308	4011
246	1314	4008
247	1321	4006
248	1325	3998
249	1330	3991
250	1335	3985
251	1340	3979
252	1345	3973
253	1351	3969
254	1358	3969
255	1364	3964
256	1369	3958
257	1374	3952
258	1378	3944
259	1381	3931
260	1386	3924
261	1390	3917
262	1395	3910
263	1401	3906
264	1405	3898
265	1410	3892
266	1415	3886
267	1420	3878
268	1424	3870
269	1429	3864
270	1434	3857
271	1439	3851
272	1441	3839
273	1446	3833
274	1452	3828
275	1456	3821
276	1461	3814
277	1466	3807
278	1470	3800
279	1475	3794
280	1480	3787
281	1484	3780
282	1491	3778
283	1496	3773
284	1501	3766
285	1506	3761
286	1511	3755
287	1516	3749
288	1521	3743
289	1526	3737
290	1532	3732
291	1538	3730
292	1543	3723
293	1548	3717
294	1554	3714
295	1558	3707
296	1563	3701
297	1567	3693
298	1572	3686
299	1577	3680
300	1582	3674
301	1586	3667
302	1591	3661
303	1596	3655
304	1601	3648
305	1606	3642
306	1611	3637
307	1616	3631
308	1621	3626
309	1627	3621
310	1632	3616
311	1639	3614
312	1644	3609
313	1649	3603
314	1655	3601
315	1661	3596
316	1667	3591
317	1672	3586
318	1677	3581
319	1682	3575
320	1688	3570
321	1693	3565
322	1700	3563
323	1705	3558
324	1710	3552
325	1716	3547
326	1721	3543
327	1727	3538
328	1732	3533
329	1738	3529
330	1746	3528
331	1751	3523
332	1757	3519
333	1763	3517
334	1769	3511
335	1774	3506
336	1779	3501
337	1785	3497
338	1792	3495
339	1799	3493
340	1804	3487
341	1810	3482
342	1815	3477
343	1820	3471
344	1826	3467
345	1832	3463
346	1837	3457
347	1842	3452
348	1847	3446
349	1853	3442
350	1858	3436
351	1863	3429
352	1868	3424
353	1873	3418
354	1878	3412
355	1883	3406
356	1887	3399
357	1892	3394
358	1897	3387
359	1901	3381
360	1907	3376
361	1911	3369
362	1916	3362
363	1921	3356
364	1925	3350
365	1930	3343
366	1934	3337
367	1939	3331
368	1944	3325
369	1949	3320
370	1954	3313
371	1959	3307
372	1963	3301
373	1969	3295
374	1974	3290
375	1979	3285
376	1985	3280
377	1991	3277
378	1997	3272
379	2002	3266
380	2004	3257
381	2009	3251
382	2015	3246
383	2021	3243
384	2029	3241
385	2036	3238
386	2042	3236
387	2048	3231
388	2054	3227
389	2060	3223
390	2066	3218
391	2071	3213
392	2076	3207
393	2081	3201
394	2086	3195
395	2090	3188
396	2095	3182
397	2099	3175
398	2103	3169
399	2108	3162
400	2112	3155
401	2117	3150
402	2122	3143
403	2124	3134
404	2130	3129
405	2134	3122
406	2138	3116
407	2143	3110
408	2147	3103
409	2152	3097
410	2156	3090
411	2162	3085
412	2167	3080
413	2172	3075
414	2178	3071
415	2184	3066
416	2190	3063
417	2196	3057
418	2201	3052
419	2206	3047
420	2212	3042
421	2218	3038
422	2222	3031
423	2227	3025
424	2233	3022
425	2239	3017
426	2244	3011
427	2250	3008
428	2256	3002
429	2262	2998
430	2268	2994
431	2270	2985
432	2274	2978
433	2279	2973
434	2284	2967
435	2290	2962
436	2293	2954
437	2296	2946
438	2299	2938
439	2302	2930
440	2304	2921
441	2308	2913
442	2310	2905
443	2311	2894
444	2314	2886
445	2316	2877
446	2318	2868
447	2321	2860
448	2324	2852
449	2326	2843
450	2329	2835
451	2332	2828
452	2335	2820
453	2337	2810
454	2339	2802
455	2342	2794
456	2344	2786
457	2348	2779
458	2351	2771
459	2354	2763
460	2357	2756
461	2360	2748
462	2363	2740
463	2366	2733
464	2368	2725
465	2369	2715
466	2372	2707
467	2373	2698
468	2376	2690
469	2378	2682
470	2379	2672
471	2382	2664
472	2384	2656
473	2387	2649
474	2390	2641
475	2392	2633
476	2394	2625
477	2397	2617
478	2399	2610
479	2402	2602
480	2404	2594
481	2407	2587
482	2409	2579
483	2412	2571
484	2414	2564
485	2417	2556
486	2419	2549
487	2422	2541
488	2424	2533
489	2426	2525
490	2428	2517
491	2431	2510
492	2434	2503
493	2437	2496
494	2439	2489
495	2441	2480
496	2443	2473
497	2446	2466
498	2449	2459
499	2453	2453
500	2456	2447
501	2461	2442
502	2466	2437
503	2471	2432
504	2475	2426
505	2480	2421
506	2485	2416
507	2491	2412
508	2496	2408
509	2502	2404
510	2508	2400
511	2513	2395
512	2518	2390
513	2523	2386
514	2529	2382
515	2554	2396
516	2562	2393
